date,total_energy_kwh,session_count,unique_stations_used
2019-05-19,724.235,107,28
2019-05-20,1347.336,128,28
2019-05-21,1158.908,138,28
2019-05-22,1132.181,128,28
2019-05-23,1215.1109999999999,146,28
2019-05-24,1183.969,132,27
2019-05-25,825.812,105,27
2019-05-26,577.352,84,25
2019-05-27,380.575,46,21
2019-05-28,1171.159,129,29
2019-05-29,1245.844,137,28
2019-05-30,1202.283,138,28
2019-05-31,1368.087,140,28
2019-06-01,851.67,104,29
2019-06-02,706.806,102,26
2019-06-03,1246.345,121,28
2019-06-04,1027.575,124,27
2019-06-05,1177.813,143,28
2019-06-06,1306.703,149,28
2019-06-07,1313.711,149,28
2019-06-08,974.4060000000001,110,26
2019-06-09,740.864,103,27
2019-06-10,1259.651,128,26
2019-06-11,1236.394,139,27
2019-06-12,1314.081,140,27
2019-06-13,1295.882,127,27
2019-06-14,1228.028,133,27
2019-06-15,593.476,89,26
2019-06-16,773.906,112,26
2019-06-17,1248.481,134,27
2019-06-18,1008.486,110,28
2019-06-19,1028.837,129,27
2019-06-20,1215.421,136,27
2019-06-21,1368.313,135,27
2019-06-22,803.119,107,27
2019-06-23,696.769,97,27
2019-06-24,1119.568,135,27
2019-06-25,1122.739,128,28
2019-06-26,1157.348,128,27
2019-06-27,1070.425,124,26
2019-06-28,982.153,129,27
2019-06-29,1021.526,132,27
2019-06-30,567.55,88,25
2019-07-01,1209.212,107,28
2019-07-02,1104.091,116,26
2019-07-03,1121.868,122,27
2019-07-04,511.426,37,22
2019-07-05,722.92,73,24
2019-07-06,532.873,68,26
2019-07-07,537.186,73,23
2019-07-08,1001.994,115,25
2019-07-09,1023.0939999999999,122,25
2019-07-10,1248.875,129,26
2019-07-11,1159.252,123,26
2019-07-12,1370.391,148,24
2019-07-13,950.734,110,26
2019-07-14,533.143,80,22
2019-07-15,1087.196,126,26
2019-07-16,1351.24,133,26
2019-07-17,1122.935,129,25
2019-07-18,1224.213,132,25
2019-07-19,1252.903,136,26
2019-07-20,742.822,101,26
2019-07-21,801.641,101,25
2019-07-22,1039.272,113,26
2019-07-23,963.567,114,24
2019-07-24,1208.664,138,27
2019-07-25,1292.599,143,25
2019-07-26,1200.679,135,25
2019-07-27,797.8199999999999,101,26
2019-07-28,746.783,98,26
2019-07-29,1114.783,107,26
2019-07-30,1200.174,127,25
2019-07-31,1129.435,123,26
2019-08-01,1389.339,137,27
2019-08-02,1173.331,130,26
2019-08-03,811.086,88,25
2019-08-04,678.183,103,27
2019-08-05,1040.429,110,27
2019-08-06,1074.611,125,27
2019-08-07,1313.135,150,28
2019-08-08,1327.207,145,28
2019-08-09,1084.136,121,26
2019-08-10,740.938,87,27
2019-08-11,681.485,90,28
2019-08-12,1327.608,138,28
2019-08-13,1292.294,128,28
2019-08-14,1370.787,149,28
2019-08-15,1665.191,163,28
2019-08-16,1144.535,148,29
2019-08-17,705.098,99,28
2019-08-18,846.0550000000001,108,28
2019-08-19,1325.805,129,28
2019-08-20,1188.785,128,27
2019-08-21,1456.539,153,28
2019-08-22,1241.874,146,27
2019-08-23,1192.842,148,28
2019-08-24,860.775,122,27
2019-08-25,887.147,124,28
2019-08-26,1234.224,119,29
2019-08-27,1251.273,132,28
2019-08-28,1260.866,129,28
2019-08-29,979.357,104,27
2019-08-30,901.866,102,22
2019-08-31,682.448,88,22
2019-09-01,641.876,78,22
2019-09-02,599.603,67,21
2019-09-03,1123.16,124,27
2019-09-04,1147.261,132,28
2019-09-05,1151.907,132,28
2019-09-06,1529.814,150,28
2019-09-07,914.12,103,26
2019-09-08,683.198,95,28
2019-09-09,1055.056,111,27
2019-09-10,1095.408,119,27
2019-09-11,1319.495,129,28
2019-09-12,1170.51,133,25
2019-09-13,1286.294,143,28
2019-09-14,932.8389999999999,112,29
2019-09-15,855.329,100,27
2019-09-16,1069.763,119,28
2019-09-17,1209.736,127,28
2019-09-18,1058.349,123,28
2019-09-19,1422.825,136,28
2019-09-20,1383.53,142,28
2019-09-21,1075.763,125,29
2019-09-22,769.881,112,28
2019-09-23,1378.222,129,28
2019-09-24,1340.615,138,27
2019-09-25,1224.901,141,28
2019-09-26,1446.337,135,28
2019-09-27,1366.416,149,28
2019-09-28,1022.107,125,29
2019-09-29,921.381,99,29
2019-09-30,1214.693,124,27
2019-10-01,1298.623,128,27
2019-10-02,1336.614,146,28
2019-10-03,1410.181,134,27
2019-10-04,1323.66,150,28
2019-10-05,1000.482,111,27
2019-10-06,883.912,110,26
2019-10-07,1240.941,127,28
2019-10-08,1112.031,127,28
2019-10-09,1644.372,156,28
2019-10-10,1385.472,130,28
2019-10-11,1265.008,138,29
2019-10-12,862.753,102,26
2019-10-13,1071.4,126,27
2019-10-14,941.603,108,28
2019-10-15,1329.442,122,28
2019-10-16,1424.845,143,28
2019-10-17,1404.502,141,28
2019-10-18,1299.975,137,28
2019-10-19,1075.363,129,29
2019-10-20,1002.735,132,28
2019-10-21,1180.64,128,28
2019-10-22,1271.339,133,28
2019-10-23,1579.605,153,28
2019-10-24,1399.558,141,28
2019-10-25,1374.886,139,28
2019-10-26,898.491,108,28
2019-10-27,852.867,106,27
2019-10-28,1429.0,135,28
2019-10-29,1566.472,147,29
2019-10-30,1426.74,146,28
2019-10-31,1236.319,127,29
2019-11-01,1400.595,138,28
2019-11-02,1200.463,134,27
2019-11-03,937.044,111,27
2019-11-04,1314.922,130,28
2019-11-05,1340.905,134,28
2019-11-06,1390.524,149,28
2019-11-07,1416.751,142,28
2019-11-08,1506.984,149,28
2019-11-09,972.482,125,29
2019-11-10,1030.663,112,28
2019-11-11,1008.876,110,27
2019-11-12,1288.12,146,28
2019-11-13,1603.085,142,28
2019-11-14,1348.7350000000001,150,29
2019-11-15,1422.439,154,29
2019-11-16,1061.547,126,27
2019-11-17,875.542,119,28
2019-11-18,1281.96,136,28
2019-11-19,1333.497,128,28
2019-11-20,1455.013,141,28
2019-11-21,1492.363,159,27
2019-11-22,1333.597,161,28
2019-11-23,965.371,103,28
2019-11-24,779.887,91,29
2019-11-25,1502.617,124,29
2019-11-26,1214.551,131,29
2019-11-27,1107.552,111,25
2019-11-28,391.321,34,19
2019-11-29,611.362,68,25
2019-11-30,1079.256,104,29
2019-12-01,563.34,81,24
2019-12-02,1182.632,121,28
2019-12-03,1369.462,125,27
2019-12-04,1197.538,136,28
2019-12-05,1543.508,144,28
2019-12-06,1345.606,158,28
2019-12-07,793.186,107,28
2019-12-08,898.289,106,28
2019-12-09,1244.818,132,29
2019-12-10,1262.94,128,28
2019-12-11,1388.616,150,28
2019-12-12,1433.344,160,28
2019-12-13,1399.912,158,28
2019-12-14,956.603,124,27
2019-12-15,877.207,95,27
2019-12-16,1409.842,143,27
2019-12-17,1365.928,141,29
2019-12-18,1383.944,143,28
2019-12-19,1375.177,150,27
2019-12-20,1199.769,131,28
2019-12-21,759.2620000000001,94,25
2019-12-22,783.911,96,28
2019-12-23,1049.796,104,28
2019-12-24,585.581,63,25
2019-12-25,152.441,20,13
2019-12-26,708.374,82,27
2019-12-27,666.621,84,27
2019-12-28,593.934,72,25
2019-12-29,630.092,71,25
2019-12-30,854.566,96,27
2019-12-31,688.771,69,28
2020-01-01,404.171,39,21
2020-01-02,1051.07,112,28
2020-01-03,1234.823,117,26
2020-01-04,881.846,101,28
2020-01-05,787.43,102,26
2020-01-06,1435.957,133,28
2020-01-07,1373.136,135,28
2020-01-08,1472.609,138,28
2020-01-09,1463.423,153,28
2020-01-10,1538.762,148,29
2020-01-11,932.853,118,28
2020-01-12,920.813,110,29
2020-01-13,1517.767,152,29
2020-01-14,1367.41,145,29
2020-01-15,1768.568,156,28
2020-01-16,1396.615,147,27
2020-01-17,1635.873,162,28
2020-01-18,1017.47,124,28
2020-01-19,754.915,109,26
2020-01-20,989.6229999999999,100,28
2020-01-21,1243.186,129,28
