date,total_energy_kwh,session_count,unique_stations_used,day_of_week,is_weekend,month,is_holiday,dow_sin,dow_cos,month_sin,month_cos,lag_1d,lag_7d,rolling_7d_avg,rolling_14d_avg
2020-01-13,1517.767,152,29,0,0,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,920.813,1435.957,1305.3647142857142,1074.302142857143
2020-01-14,1367.41,145,29,1,0,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,1517.767,1373.136,1317.051857142857,1121.6736428571428
2020-01-15,1768.568,156,28,2,0,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,1367.41,1472.609,1316.233857142857,1170.1478571428572
2020-01-16,1396.615,147,27,3,0,1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,1768.568,1463.423,1358.5137142857143,1267.6047857142858
2020-01-17,1635.873,162,28,4,0,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1396.615,1538.762,1348.9697142857144,1292.2865714285713
2020-01-18,1017.47,124,28,5,1,1,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1635.873,932.853,1362.8427142857142,1320.9329999999998
2020-01-19,754.915,109,26,6,1,1,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,1017.47,920.813,1374.9308571428571,1330.6204285714286
2020-01-20,989.623,100,28,0,0,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,754.915,1517.767,1351.231142857143,1328.2979285714287
2020-01-21,1243.186,129,28,1,0,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,989.623,1367.41,1275.782,1296.4169285714286
2020-01-22,1430.253,132,27,2,0,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,1243.186,1768.568,1258.0357142857142,1287.1347857142857
2020-01-23,1668.543,170,27,3,0,1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,1430.253,1396.615,1209.7050000000002,1284.109357142857
2020-01-24,1402.157,150,27,4,0,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1668.543,1635.873,1248.551857142857,1298.760785714286
2020-01-25,768.557,113,28,5,1,1,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1402.157,1017.47,1215.1638571428573,1289.0032857142855
2020-01-26,796.99,116,28,6,1,1,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,768.557,754.915,1179.604857142857,1277.267857142857
2020-01-27,1556.911,150,28,0,0,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,796.99,989.623,1185.6155714285712,1268.4233571428572
2020-01-28,1543.682,140,27,1,0,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,1556.911,1243.186,1266.6567142857143,1271.2193571428572
2020-01-29,1503.742,158,28,2,0,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,1543.682,1430.253,1309.5847142857142,1283.8102142857144
2020-01-30,1410.289,150,29,3,0,1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,1503.742,1668.543,1320.083142857143,1264.8940714285714
2020-01-31,1388.587,144,28,4,0,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1410.289,1402.157,1283.1897142857142,1265.8707857142856
2020-02-01,902.509,105,27,5,1,2,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1388.587,768.557,1281.251142857143,1248.2075
2020-02-02,672.101,83,25,6,1,2,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,902.509,796.99,1300.3871428571426,1239.9959999999999
2020-02-03,1525.869,145,27,0,0,2,0,0.0,1.0,0.8660254037844386,0.5000000000000001,672.101,1556.911,1282.5458571428571,1234.0807142857143
2020-02-04,1576.089,155,28,1,0,2,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,1525.869,1543.682,1278.1112857142855,1272.384
2020-02-05,1325.383,130,26,2,0,2,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,1576.089,1503.742,1282.740857142857,1296.162785714286
2020-02-06,1517.843,147,28,3,0,2,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,1325.383,1410.289,1257.261,1288.6720714285714
2020-02-07,1400.253,147,29,4,0,2,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1517.843,1388.587,1272.625857142857,1277.9077857142856
2020-02-08,804.7139999999999,112,28,5,1,2,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1400.253,902.509,1274.2924285714287,1277.7717857142857
2020-02-09,837.692,97,28,6,1,2,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,804.7139999999999,672.101,1260.3217142857143,1280.3544285714286
2020-02-10,1363.601,127,27,0,0,2,0,0.0,1.0,0.8660254037844386,0.5000000000000001,837.692,1525.869,1283.9775714285713,1283.2617142857143
2020-02-11,1384.214,144,27,1,0,2,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,1363.601,1576.089,1260.7964285714286,1269.4538571428573
2020-02-12,1343.379,144,27,2,0,2,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,1384.214,1325.383,1233.3857142857144,1258.063285714286
2020-02-13,1521.181,146,27,3,0,2,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,1343.379,1517.843,1235.9565714285714,1246.608785714286
2020-02-14,1439.213,152,27,4,0,2,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1521.181,1400.253,1236.4334285714285,1254.529642857143
2020-02-15,942.773,110,28,5,1,2,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1439.213,804.7139999999999,1241.9991428571427,1258.1457857142857
2020-02-16,923.982,107,29,6,1,2,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,942.773,837.692,1261.721857142857,1261.0217857142854
2020-02-17,1060.226,100,29,0,0,2,0,0.0,1.0,0.8660254037844386,0.5000000000000001,923.982,1363.601,1274.0489999999998,1279.0132857142855
2020-02-18,1289.184,134,28,1,0,2,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,1060.226,1384.214,1230.7097142857144,1245.7530714285715
2020-02-19,1302.366,135,29,2,0,2,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,1289.184,1343.379,1217.134,1225.2598571428573
2020-02-20,1256.506,123,27,3,0,2,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,1302.366,1521.181,1211.275,1223.6157857142857
2020-02-21,1291.958,148,28,4,0,2,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1256.506,1439.213,1173.4642857142858,1204.9488571428572
2020-02-22,988.275,117,29,5,1,2,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1291.958,942.773,1152.4278571428572,1197.2135
